movie_id,budget_x,revenue,genre,status,score
4482,97000000,183124621,"Drama, History, Crime", Released,73
4483,4500000,224031828.4,"Adventure, History", Released,68
4484,178800000,2081794006,"Documentary, Music", Released,91
4485,60000000,170200225,"Comedy, Crime", Released,58
4486,111600000,758528172.4,"Animation, Action, Comedy", Released,67
4487,185534545.8,178359863,"Drama, Romance", Released,0
4488,68000000,75685268,"Horror, Mystery, Thriller", Released,60
4489,20700000,150467919,"Drama, Comedy, Crime", Released,65
4490,138400000,649122426.2,"Animation, Adventure, Family, Science Fiction", Released,73
4491,18000000,23415259,"Drama, History", Released,80
4492,24000000,133000000,"Science Fiction, Adventure", Released,72
4493,167540000,175269998.8,, Released,0
4494,24350000,2652725,"Drama, History, Romance", Released,67
4495,66000000,189198313,"Mystery, Science Fiction, Thriller", Released,68
4496,80000000,158926474,"Comedy, Mystery, Crime, Adventure, Family", Released,58
4497,15541000,38139010,Thriller, Released,30
4498,136800000,851439386,"Action, Drama, Horror, Science Fiction", Released,51
4499,45000000,41467606,"Action, Science Fiction", Released,68
4500,117000000,693003184.8,"Drama, History", Released,58
4501,48300000,354965688.6,Music, Released,71
4502,88600000,365470598,"Thriller, Drama", Released,64
4503,20000000,9771658,"Family, Animation, Fantasy, Adventure, Comedy", Released,66
4504,9000000,155615727,"Horror, Thriller, Fantasy", Released,49
4505,40000000,124827316,"Action, Comedy", Released,62
4506,10000000,194243,"Action, Crime, Drama, Thriller", Released,60
4507,6000000,42721196,"Fantasy, Comedy, Romance", Released,68
4508,2500000,25533818,Horror, Released,66
4509,50000000,56077088,"Thriller, Crime, Mystery", Released,74
4510,40000000,75505856,"Action, Adventure, Drama, History, Romance, War", Released,74
4511,94000000,321279166.8,Thriller, Released,63
4512,23150365.4,4843719,"Science Fiction, Animation, Drama", Released,76
4513,83800000,723604087.4,"Fantasy, Animation", Released,76
4514,5074618.2,289157,"Horror, Drama, Mystery", Released,62
4515,214800000,692152526.4,"Drama, Horror, Thriller", Released,61
4516,18000000,73695194,"Family, Comedy", Released,66
4517,2000000,33965843,"Crime, Mystery, Thriller, Romance, Drama", Released,80
4518,96600000,408896200.6,"Science Fiction, Animation, Action, Adventure, Family", Released,70
4519,61460000,550973851,"Drama, Family, Fantasy", Released,74
4520,100000000,249488115,"Fantasy, Action, Adventure, Family", Released,51
4521,80600000,563161594.2,"Comedy, Drama", Released,73
4522,102200000,553259177,"Family, Animation, Fantasy", Released,63
4523,87000000,416389640,Drama, Released,63
4524,6000000,20543,Comedy, Released,54
4525,40000000,32903549,"Drama, Comedy", Released,70
4526,54000000,166617328,Drama, Released,76
4527,70000000,202726605,"Mystery, Science Fiction, Drama, Romance, Fantasy, Thriller", Released,68
4528,105000000,205189611,"Action, Thriller", Released,68
4529,111600000,831760336.2,, Released,69
4530,20000000,67950723,"Crime, Drama, Thriller", Released,59
4531,95200000,405026088.6,"Action, Thriller", Released,63
4532,97580000,653742013.4,"Science Fiction, Animation, Action, Fantasy", Released,70
4533,182600000,391973824,"Action, Adventure, Comedy, Horror, Science Fiction", Released,55
4534,3500000,169263708.8,"Science Fiction, Action, Adventure, Animation, Family", Released,72
4535,13500000,53292989,Drama, Released,73
4536,12001040,38139010,, Released,25
4537,68936595,361781352.6,"Fantasy, Romance, Adventure", Released,64
4538,90000000,0,"Fantasy, Action, Thriller", Released,62
4539,45000000,2000000,"Action, Science Fiction, Thriller", Released,69
4540,27000000,27257061,"Mystery, Science Fiction", Released,73
4541,147200000,781524699.8,"Action, Crime, Thriller", Released,82
4542,24720400,245461189.2,"Animation, Family, Adventure, Action, Comedy, Drama", Released,66
4543,12800000,69821476,"Thriller, Mystery, Science Fiction", Released,76
4544,87200000,938053207.2,"Mystery, Thriller, Horror", Released,60
4545,73220050,1238072,"Fantasy, Animation, Science Fiction", Released,69
4546,101800000,858637629,"Drama, Fantasy, Horror, Mystery, Thriller, Adventure, Romance, Crime", Released,41
4547,139000000,209282732,"Drama, Fantasy, Thriller", Released,63
4548,6500000,20412841,Drama, Released,70
4549,167540000,175269998.8,, Released,0
4550,178000000,1153194949,"Animation, Science Fiction, Action", Released,80
4551,24953000,3396726,"Thriller, Mystery", Released,69
4552,1125000,18673274,Comedy, Released,63
4553,86500000,171913639,Drama, Released,43
4554,111400000,541920183.6,"Comedy, Drama, Romance", Released,72
4555,25000000,48481754,"Drama, History", Released,66
4556,19000000,56445534,"Mystery, Horror, Action", Released,62
4557,68000000,75685268,"Drama, Horror, Science Fiction, Thriller", Released,56
4558,55000000,220648184,"Action, Drama, Thriller", Released,76
4559,174600000,175269998.8,Drama, Released,0
4560,167540000,175269998.8,, Released,0
4561,25000000,31635150,Romance, Released,50
4562,2000000,26433651,Comedy, Released,79
4563,184000000,759819734.6,"Drama, Romance, Comedy", Released,50
4564,110000000,380285773.6,"Adventure, Drama, History", Released,63
4565,4000000,47552,"Horror, Thriller", Released,63
4566,12000000,263499349,"Adventure, Action, Comedy, Fantasy", Released,66
4567,174000000,613598751.2,"Animation, Adventure, Comedy", Released,73
4568,12000000,22978953,"Fantasy, Romance, Family, Comedy", Released,64
4569,65000000,374105123,"Comedy, Romance", Released,64
4570,12000000,1594955,Horror, Released,69
4571,30000000,10383524,"Science Fiction, Action", Released,62
4572,33746302,3445000,"Animation, Romance, Adventure, Drama, Fantasy", Released,72
4573,9000000,64686515,"Comedy, Horror, Science Fiction", Released,63
4574,3500000,266970289.8,"Action, Adventure, Animation, Fantasy, Science Fiction", Released,69
4575,201940000,38157314,Romance, Released,10
4576,125000,8737458,"Action, Crime, Drama, Thriller", Released,68
4577,48600000,312174199.6,"Comedy, Fantasy", Released,65
4578,5000000,388789,"Action, Crime, Thriller", Released,55
4579,5000000,142817992,Horror, Released,54
4580,88000000,447548637.2,"Action, Adventure, Animation", Released,58
4581,8200000,286213504,"Drama, Family, Music, Romance", Released,77
4582,132000000,782538445.4,"Action, Animation, Science Fiction", Released,77
4583,128000000,606292496,"Drama, War, History", Released,68
4584,7000000,55617866,"Comedy, Romance", Released,69
4585,140500000,650589449.4,"Action, Adventure, Animation, Horror", Released,70
4586,120000000,93394462,"Family, Action, Adventure, Comedy", Released,62
4587,82000000,618157116.2,Thriller, Released,60
